Dataset Intensity Statistics Report
Source: /data/hwh_data_folder/dataset/train
Config: FreqRes=5kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
275        | -112.80         | 6.93           
276        | -106.76         | 0.93           
277        | -120.96         | -2.17          
278        | -109.74         | 3.72           
279        | -69.60          | 22.71          
280        | -101.69         | 17.42          
281        | -110.73         | 3.03           
282        | -110.13         | 4.92           
283        | -102.12         | 5.42           
284        | -110.30         | 3.97           
285        | -102.88         | 10.60          
286        | -116.74         | -22.13         
287        | -106.28         | -14.22         
288        | -75.50          | 24.11          
289        | -103.65         | 12.48          
290        | -112.30         | 7.85           
291        | -110.31         | 6.25           
292        | -106.43         | -5.13          
293        | -95.87          | -8.84          
294        | -97.45          | 7.84           
295        | -127.87         | -4.93          
296        | -105.40         | -2.98          
297        | -108.13         | -8.12          
298        | -103.47         | -0.99          
299        | -119.31         | 0.34           
300        | -126.06         | 1.57           
301        | -105.38         | 4.65           
302        | -124.00         | -6.66          
303        | -102.47         | 10.44          
304        | -109.04         | 4.49           
305        | -94.94          | -6.53          
306        | -83.31          | 14.91          
307        | -111.17         | 2.86           
308        | -107.88         | 3.35           
309        | -111.74         | 9.85           
310        | -112.12         | 12.08          
311        | -118.81         | 4.22           
312        | -112.80         | -2.86          
313        | -130.31         | -4.76          
314        | -106.73         | 15.51          
315        | -121.72         | -8.04          
316        | -89.05          | 1.60           
317        | -113.72         | 7.98           
318        | -106.78         | 13.11          
319        | -76.21          | 26.61          
320        | -120.53         | -2.47          
321        | -76.54          | 12.30          
322        | -80.96          | 24.40          
323        | -73.49          | 14.57          
324        | -115.42         | -4.59          
325        | -108.58         | 3.61           
326        | -103.41         | 9.83           
327        | -90.15          | 2.27           
328        | -113.76         | 10.78          
329        | -96.38          | 2.58           
330        | -114.06         | 6.24           
331        | -113.60         | 7.12           
332        | -95.73          | 7.24           
333        | -74.81          | 11.83          
334        | -100.95         | 12.40          
335        | -96.71          | 5.92           
336        | -91.37          | 12.64          
337        | -106.23         | 8.46           
338        | -74.22          | 4.02           
339        | -88.12          | 16.75          
340        | -90.46          | 4.03           
341        | -107.92         | 5.76           
342        | -109.69         | -3.92          
343        | -115.75         | -3.73          
344        | -92.78          | 7.39           
345        | -119.80         | 3.69           
346        | -102.57         | -4.71          
347        | -103.11         | -8.10          
348        | -68.57          | 17.62          
349        | -100.58         | 2.98           
350        | -111.57         | -0.57          
351        | -115.23         | 1.46           
352        | -125.42         | 12.43          
353        | -77.62          | 3.28           
354        | -116.92         | -0.74          
355        | -111.10         | 11.07          
356        | -97.61          | 3.61           
357        | -120.50         | 8.91           
358        | -70.33          | 27.48          
359        | -89.03          | 10.80          
360        | -111.70         | -15.35         
361        | -112.39         | 6.83           
362        | -135.40         | -8.25          
363        | -109.15         | 0.40           
364        | -122.33         | 8.18           
365        | -119.31         | 9.30           
366        | -115.84         | 5.88           
367        | -75.13          | 8.47           
368        | -120.50         | -16.30         
369        | -100.49         | 13.87          
370        | -123.90         | 2.27           
371        | -74.38          | 25.22          
372        | -98.64          | 18.00          
373        | -98.82          | -4.61          
374        | -85.16          | 28.99          
375        | -109.53         | 3.83           
376        | -98.40          | -6.64          
377        | -83.08          | 13.11          
378        | -110.24         | -19.05         
379        | -104.67         | 17.31          
380        | -107.67         | -15.45         
381        | -240.00         | 7.15           
382        | -91.62          | 12.62          
383        | -102.55         | 13.47          
384        | -91.96          | 24.49          
385        | -111.38         | 8.92           
386        | -114.74         | -3.56          
387        | -113.90         | 7.29           
388        | -108.34         | -9.39          
389        | -113.19         | 2.22           
390        | -109.60         | 7.65           
391        | -93.10          | 13.75          
392        | -113.73         | 8.13           
393        | -104.85         | 6.97           
394        | -97.80          | 14.73          
395        | -108.38         | 5.62           
396        | -106.95         | 10.67          
397        | -75.96          | 29.06          
398        | -77.96          | 19.31          
399        | -120.11         | -3.76          
400        | -109.42         | 13.11          
401        | -127.53         | -5.41          
402        | -83.78          | 23.98          
403        | -240.00         | 13.79          
404        | -99.21          | 9.30           
405        | -85.04          | -0.11          
406        | -115.29         | -4.70          
407        | -100.10         | 4.84           
408        | -113.01         | -22.27         
409        | -126.29         | 4.58           
410        | -91.16          | 4.61           
411        | -114.49         | -8.54          
412        | -107.92         | 16.38          
413        | -101.84         | 1.18           
414        | -113.07         | 9.43           
415        | -99.81          | 10.04          
416        | -110.35         | 3.77           
417        | -100.07         | -0.58          
418        | -105.40         | 16.19          
419        | -122.17         | 5.82           
420        | -114.46         | -8.32          
421        | -105.59         | 4.62           
422        | -95.28          | 1.34           
423        | -71.55          | 27.04          
424        | -124.07         | 9.23           
425        | -99.78          | -14.05         
426        | -90.85          | -6.18          
427        | -93.58          | 14.05          
428        | -79.05          | 19.93          
429        | -100.47         | 7.43           
430        | -112.51         | 5.34           
431        | -113.44         | -7.07          
432        | -78.76          | 25.63          
433        | -101.93         | -8.39          
434        | -116.74         | 12.07          
435        | -92.95          | 4.37           
436        | -107.44         | -0.02          
437        | -82.78          | 12.88          
438        | -74.63          | 25.67          
439        | -93.04          | 1.91           
440        | -106.61         | 2.34           
441        | -80.48          | 14.33          
442        | -65.27          | 22.67          
443        | -113.48         | -8.98          
444        | -120.24         | 21.13          
445        | -104.27         | 8.73           
446        | -114.62         | -5.09          
447        | -107.55         | 12.65          
448        | -113.46         | -11.62         
449        | -96.03          | 1.73           
450        | -89.89          | 9.67           
451        | -126.12         | 3.60           
452        | -94.57          | 0.04           
453        | -108.09         | 11.51          
454        | -82.32          | 11.11          
455        | -97.09          | 8.96           
456        | -82.90          | -3.14          
457        | -130.33         | -1.12          
458        | -99.13          | 4.00           
459        | -97.12          | 2.17           
460        | -105.60         | 10.34          
461        | -106.75         | 7.35           
462        | -129.44         | -4.84          
463        | -107.40         | 4.12           
464        | -111.24         | 10.94          
465        | -79.94          | 25.27          
466        | -118.77         | 7.73           
467        | -120.34         | 0.16           
468        | -107.49         | -13.15         
469        | -91.55          | 22.75          
470        | -118.69         | -2.02          
471        | -97.85          | -5.06          
472        | -101.30         | 0.51           
473        | -106.54         | 0.49           
474        | -129.55         | 7.19           
475        | -121.55         | -11.68         
476        | -106.34         | 7.74           
477        | -132.10         | 4.30           
478        | -98.12          | 1.21           
479        | -128.30         | 4.93           
480        | -114.19         | -1.14          
481        | -102.83         | 17.14          
482        | -98.71          | 7.83           
483        | -110.76         | 1.91           
484        | -109.07         | 17.10          
485        | -95.89          | 14.50          
486        | -78.51          | 28.06          
487        | -100.94         | 1.00           
488        | -90.57          | -13.16         
489        | -87.31          | 15.68          
490        | -95.39          | 11.20          
491        | -95.51          | 7.61           
492        | -103.22         | 6.84           
493        | -73.95          | 12.44          
494        | -104.01         | 6.03           
495        | -107.89         | -16.90         
496        | -113.96         | -2.80          
497        | -93.55          | -11.70         
498        | -111.74         | 3.94           
499        | -88.69          | 11.62          
500        | -94.95          | -2.51          
501        | -110.17         | 4.01           
502        | -116.97         | 6.67           
503        | -110.89         | -1.71          
504        | -93.17          | 8.50           
505        | -104.27         | 4.88           
506        | -116.93         | 12.82          
507        | -120.89         | 0.89           
508        | -113.39         | -7.53          
509        | -110.70         | -6.98          
510        | -105.60         | 10.40          
511        | -85.12          | 28.68          
512        | -96.58          | 7.16           
513        | -103.88         | 0.86           
514        | -128.22         | 2.91           
515        | -106.52         | 12.27          
516        | -129.68         | -4.80          
517        | -117.27         | 6.74           
518        | -130.49         | 1.76           
519        | -118.34         | 9.92           
520        | -240.00         | 12.23          
521        | -86.65          | -10.15         
522        | -117.78         | -7.26          
523        | -101.15         | 5.57           
524        | -91.98          | 14.78          
525        | -131.19         | -9.69          
526        | -86.33          | 27.34          
527        | -124.42         | 2.31           
528        | -74.95          | 14.14          
529        | -114.60         | 2.27           
530        | -107.41         | 2.23           
531        | -108.63         | 4.44           
532        | -114.34         | -1.58          
533        | -122.25         | -3.45          
534        | -100.99         | 3.95           
535        | -121.15         | 0.48           
536        | -104.04         | -4.54          
537        | -120.23         | 0.52           
538        | -101.30         | 18.77          
539        | -107.05         | -3.68          
540        | -115.97         | 7.86           
541        | -80.20          | 27.10          
542        | -114.12         | -16.06         
543        | -118.08         | -2.92          
544        | -240.00         | 20.44          
545        | -118.32         | -17.25         
546        | -105.89         | -14.88         
547        | -99.38          | 16.71          
548        | -92.07          | 0.13           
549        | -81.81          | 19.82          
550        | -103.14         | 4.56           
551        | -112.10         | 10.14          
552        | -97.96          | 13.94          
553        | -87.26          | 14.04          
554        | -118.28         | 15.87          
555        | -126.75         | -7.53          
556        | -116.20         | 8.67           
557        | -123.99         | -8.91          
558        | -99.84          | 0.48           
559        | -128.15         | 1.55           
560        | -90.17          | 8.91           
561        | -120.77         | 4.50           
562        | -113.80         | 4.88           
563        | -116.57         | 3.97           
564        | -102.61         | 5.52           
565        | -97.27          | 3.90           
566        | -80.47          | -8.96          
567        | -86.44          | 12.95          
568        | -116.99         | 3.10           
569        | -125.42         | -6.84          
570        | -79.57          | 17.72          
571        | -108.37         | 11.75          
572        | -115.29         | 8.11           
573        | -137.28         | 1.82           
574        | -117.79         | -16.54         
575        | -128.03         | 7.98           
576        | -71.89          | 19.77          
577        | -112.36         | 4.94           
578        | -121.95         | 3.11           
579        | -98.99          | 8.18           
580        | -92.86          | 10.55          
581        | -105.85         | 6.58           
582        | -106.34         | 16.56          
583        | -99.64          | -2.21          
